area,fips,date_start,date_end,variable,code,response,n,pct
Alameda County,06001,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,113643,8.6
Alameda County,06001,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,19751,1.5
Alpine County,06003,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,108,12.1
Alpine County,06003,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,19,2.1
Amador County,06005,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,2075,6.2
Amador County,06005,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,361,1.1
Butte County,06007,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,14752,8.4
Butte County,06007,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,2564,1.5
Calaveras County,06009,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,2762,7.3
Calaveras County,06009,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,480,1.3
Colusa County,06011,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,2990,19.1
Colusa County,06011,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,520,3.3
Contra Costa County,06013,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,78425,8.8
Contra Costa County,06013,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,13630,1.5
Del Norte County,06015,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,1253,5.8
Del Norte County,06015,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,218,1
El Dorado County,06017,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,13664,8.9
El Dorado County,06017,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,2375,1.5
Fresno County,06019,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,77259,10.8
Fresno County,06019,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,13427,1.9
Glenn County,06021,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,1851,8.9
Glenn County,06021,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,322,1.5
Humboldt County,06023,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,8691,7.9
Humboldt County,06023,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,1511,1.4
Imperial County,06025,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,20251,15.7
Imperial County,06025,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,3520,2.7
Inyo County,06027,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,1131,7.8
Inyo County,06027,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,197,1.4
Kern County,06029,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,70492,11.1
Kern County,06029,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,12251,1.9
Kings County,06031,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,9910,8.9
Kings County,06031,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,1722,1.5
Lake County,06033,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,4357,8.5
Lake County,06033,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,757,1.5
Lassen County,06035,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,1051,4.1
Lassen County,06035,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,183,0.7
Los Angeles County,06037,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,979186,12.5
Los Angeles County,06037,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,170175,2.2
Madera County,06039,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,10556,9.3
Madera County,06039,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,1835,1.6
Marin County,06041,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,14457,7
Marin County,06041,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,2513,1.2
Mariposa County,06043,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,1406,9.8
Mariposa County,06043,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,244,1.7
Mendocino County,06045,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,5579,8.2
Mendocino County,06045,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,970,1.4
Merced County,06047,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,22059,11.3
Merced County,06047,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,3834,2
Modoc County,06049,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,439,6.2
Modoc County,06049,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,76,1.1
Mono County,06051,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,1827,15.6
Mono County,06051,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,318,2.7
Monterey County,06053,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,42272,13.2
Monterey County,06053,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,7347,2.3
Napa County,06055,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,11662,10.8
Napa County,06055,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,2027,1.9
Nevada County,06057,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,6597,8
Nevada County,06057,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,1147,1.4
Orange County,06059,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,213908,8.7
Orange County,06059,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,37177,1.5
Placer County,06061,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,23674,7.7
Placer County,06061,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,4114,1.3
Plumas County,06063,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,1425,9.1
Plumas County,06063,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,248,1.6
Riverside County,06065,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,170544,9.3
Riverside County,06065,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,29640,1.6
Sacramento County,06067,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,100334,8.5
Sacramento County,06067,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,17438,1.5
San Benito County,06069,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,6160,13.3
San Benito County,06069,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,1071,2.3
San Bernardino County,06071,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,127988,8
San Bernardino County,06071,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,22244,1.4
San Diego County,06073,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,233672,9
San Diego County,06073,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,40612,1.6
San Francisco County,06075,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,70060,9.2
San Francisco County,06075,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,12176,1.6
