area,year,variable,response,n,pct
Alabama,2018,fsfoods,enough but not always the kinds of food we want to eat,837825.8744,17.45067310932986
Alabama,2018,fsfoods,enough of the kinds of food we want to eat,3657598.8984,76.18237236553814
Alabama,2018,fsfoods,often not enough to eat,51104.4732,1.064430549935411
Alabama,2018,fsfoods,sometimes not enough to eat,254579.9671,5.3025239751965945
Alaska,2018,fsfoods,enough but not always the kinds of food we want to eat,92819.1152,13.080797185669844
Alaska,2018,fsfoods,enough of the kinds of food we want to eat,568374.0711000001,80.09972874264797
Alaska,2018,fsfoods,often not enough to eat,21898.2309,3.0860703262539655
Alaska,2018,fsfoods,sometimes not enough to eat,26491.5989,3.7334037454282303
Arizona,2018,fsfoods,enough but not always the kinds of food we want to eat,1236508.7801,17.50322919213051
Arizona,2018,fsfoods,enough of the kinds of food we want to eat,5616042.6174,79.49711531945208
Arizona,2018,fsfoods,often not enough to eat,76580.2941,1.0840217722713281
Arizona,2018,fsfoods,sometimes not enough to eat,135329.1946,1.915633716146089
Arkansas,2018,fsfoods,enough but not always the kinds of food we want to eat,547147.1129,18.606119425938836
Arkansas,2018,fsfoods,enough of the kinds of food we want to eat,2252307.7467,76.5912968030712
Arkansas,2018,fsfoods,often not enough to eat,51818.6551,1.7621295307069413
Arkansas,2018,fsfoods,sometimes not enough to eat,89410.1409,3.0404542402830224
California,2018,fsfoods,enough but not always the kinds of food we want to eat,5606479.8001,14.327740791018721
California,2018,fsfoods,enough of the kinds of food we want to eat,32099258.773,82.03184095574098
California,2018,fsfoods,often not enough to eat,361014.0257,0.922595918754494
California,2018,fsfoods,sometimes not enough to eat,1063490.4861,2.717822334485807
Colorado,2018,fsfoods,enough but not always the kinds of food we want to eat,814714.0777,14.57983442129046
Colorado,2018,fsfoods,enough of the kinds of food we want to eat,4552388.9045,81.46793858810705
Colorado,2018,fsfoods,often not enough to eat,58597.5893,1.0486416926692337
Colorado,2018,fsfoods,sometimes not enough to eat,162250.9385,2.903585297933267
Connecticut,2018,fsfoods,enough but not always the kinds of food we want to eat,459224.5241,13.104745677931925
Connecticut,2018,fsfoods,enough of the kinds of food we want to eat,2825929.4556,80.64265925691363
Connecticut,2018,fsfoods,often not enough to eat,32166.6819,0.9179304751386559
Connecticut,2018,fsfoods,sometimes not enough to eat,186940.5838,5.3346645900157865
Delaware,2018,fsfoods,enough but not always the kinds of food we want to eat,135345.2145,14.089947265613114
Delaware,2018,fsfoods,enough of the kinds of food we want to eat,794865.903,82.74853823150097
Delaware,2018,fsfoods,sometimes not enough to eat,30368.8758,3.1615145028859093
District Of Columbia,2018,fsfoods,enough but not always the kinds of food we want to eat,78021.5816,11.309093315748743
District Of Columbia,2018,fsfoods,enough of the kinds of food we want to eat,579838.9717,84.04665612499062
District Of Columbia,2018,fsfoods,often not enough to eat,3348.9605,0.4854260324973541
District Of Columbia,2018,fsfoods,sometimes not enough to eat,28691.7844,4.158824526763298
Florida,2018,fsfoods,enough but not always the kinds of food we want to eat,3616888.6302,17.146449910210844
Florida,2018,fsfoods,enough of the kinds of food we want to eat,16730625.0227,79.31425411414531
Florida,2018,fsfoods,often not enough to eat,100824.7589,0.4779761985904277
Florida,2018,fsfoods,sometimes not enough to eat,645757.7372,3.061319777053416
Georgia,2018,fsfoods,enough but not always the kinds of food we want to eat,1528012.4791,14.766272170301482
Georgia,2018,fsfoods,enough of the kinds of food we want to eat,8454297.5628,81.69989481666482
Georgia,2018,fsfoods,often not enough to eat,99975.3014,0.9661324962802933
Georgia,2018,fsfoods,sometimes not enough to eat,265705.4121,2.5677005167534013
Hawaii,2018,fsfoods,enough but not always the kinds of food we want to eat,246105.2215,18.046437904293924
Hawaii,2018,fsfoods,enough of the kinds of food we want to eat,1073909.2391,78.74776601708828
Hawaii,2018,fsfoods,often not enough to eat,898.2138,0.06586434642744823
Hawaii,2018,fsfoods,sometimes not enough to eat,42820.2839,3.139931732190359
Idaho,2018,fsfoods,enough but not always the kinds of food we want to eat,322625.4275,18.476487597281597
Idaho,2018,fsfoods,enough of the kinds of food we want to eat,1373569.646,78.66318140197265
Idaho,2018,fsfoods,often not enough to eat,3907.6641,0.22378864504718107
Idaho,2018,fsfoods,sometimes not enough to eat,46037.7331,2.6365423556985768
Illinois,2018,fsfoods,enough but not always the kinds of food we want to eat,1967279.0734,15.84553940018316
Illinois,2018,fsfoods,enough of the kinds of food we want to eat,10127394.2875,81.57156113414443
Illinois,2018,fsfoods,often not enough to eat,77460.622,0.6239101276782252
Illinois,2018,fsfoods,sometimes not enough to eat,243215.3701,1.958989337994185
Indiana,2018,fsfoods,enough but not always the kinds of food we want to eat,1307486.6712,19.75974105216052
Indiana,2018,fsfoods,enough of the kinds of food we want to eat,5077053.0035,76.72831767009895
Indiana,2018,fsfoods,often not enough to eat,79199.0388,1.1969165978814253
Indiana,2018,fsfoods,sometimes not enough to eat,153183.3795,2.315024679859111
Iowa,2018,fsfoods,enough but not always the kinds of food we want to eat,307563.68809999997,9.88041768946535
Iowa,2018,fsfoods,enough of the kinds of food we want to eat,2723668.1736,87.49725745882427
Iowa,2018,fsfoods,often not enough to eat,10384.3277,0.3335943060577607
Iowa,2018,fsfoods,sometimes not enough to eat,71245.005,2.288730545652627
Kansas,2018,fsfoods,enough but not always the kinds of food we want to eat,564757.2274,19.790893161428535
Kansas,2018,fsfoods,enough of the kinds of food we want to eat,2188455.4725,76.69045448818122
Kansas,2018,fsfoods,often not enough to eat,10981.203300000001,0.38481636135007785
Kansas,2018,fsfoods,sometimes not enough to eat,89427.8247,3.133835989040164
Kentucky,2018,fsfoods,enough but not always the kinds of food we want to eat,1025936.5091,23.359110498049105
Kentucky,2018,fsfoods,enough of the kinds of food we want to eat,3195223.0712,72.75067036219642
Kentucky,2018,fsfoods,often not enough to eat,20056.2465,0.4566521163971419
Kentucky,2018,fsfoods,sometimes not enough to eat,150802.9069,3.433567023357344
Louisiana,2018,fsfoods,enough but not always the kinds of food we want to eat,852440.4962,18.751730093513324
Louisiana,2018,fsfoods,enough of the kinds of food we want to eat,3356778.1651,73.84139821647541
Louisiana,2018,fsfoods,often not enough to eat,120555.1225,2.651935388555318
Louisiana,2018,fsfoods,sometimes not enough to eat,216156.0688,4.754936301455943
Maine,2018,fsfoods,enough but not always the kinds of food we want to eat,280635.1804,21.21269281219611
Maine,2018,fsfoods,enough of the kinds of food we want to eat,1009662.2668,76.31849819814676
Maine,2018,fsfoods,often not enough to eat,1224.0621,0.09252458395751324
Maine,2018,fsfoods,sometimes not enough to eat,31437.263000000003,2.3762844056996166
Maryland,2018,fsfoods,enough but not always the kinds of food we want to eat,940216.8889,15.731212431680097
Maryland,2018,fsfoods,enough of the kinds of food we want to eat,4836717.286,80.92539923108929
Maryland,2018,fsfoods,often not enough to eat,50082.0721,0.837946780710949
Maryland,2018,fsfoods,sometimes not enough to eat,149744.241,2.5054415565196733
Massachusetts,2018,fsfoods,enough but not always the kinds of food we want to eat,1022543.6493,14.96467981384251
Massachusetts,2018,fsfoods,enough of the kinds of food we want to eat,5614497.2543,82.1668138898659
Massachusetts,2018,fsfoods,often not enough to eat,16938.3642,0.24788887691667227
Massachusetts,2018,fsfoods,sometimes not enough to eat,179068.0277,2.620617419374922
Michigan,2018,fsfoods,enough but not always the kinds of food we want to eat,1694834.8772,17.2097190201663
Michigan,2018,fsfoods,enough of the kinds of food we want to eat,7761675.2058,78.81372469646591
Michigan,2018,fsfoods,often not enough to eat,53122.9938,0.539422340846808
Michigan,2018,fsfoods,sometimes not enough to eat,338493.2942,3.4371339425209744
Minnesota,2018,fsfoods,enough but not always the kinds of food we want to eat,813248.2331,14.579574482102295
Minnesota,2018,fsfoods,enough of the kinds of food we want to eat,4684315.2693,83.9784466620668
Minnesota,2018,fsfoods,often not enough to eat,14713.289700000001,0.2637737093386604
Minnesota,2018,fsfoods,sometimes not enough to eat,65720.2482,1.1782051464922505
Mississippi,2018,fsfoods,enough but not always the kinds of food we want to eat,718171.7945,24.705480319250338
Mississippi,2018,fsfoods,enough of the kinds of food we want to eat,2010287.2886,69.1549200691234
Mississippi,2018,fsfoods,often not enough to eat,38393.01,1.3207393554242144
Mississippi,2018,fsfoods,sometimes not enough to eat,140081.0457,4.818860256202051
Missouri,2018,fsfoods,enough but not always the kinds of food we want to eat,899865.4189,14.90614840775087
Missouri,2018,fsfoods,enough of the kinds of food we want to eat,4948386.2077,81.96934523943592
Missouri,2018,fsfoods,often not enough to eat,29723.529000000002,0.49236621962614113
Missouri,2018,fsfoods,sometimes not enough to eat,158898.9871,2.632140133187077
Montana,2018,fsfoods,enough but not always the kinds of food we want to eat,206041.4146,19.575915576247176
Montana,2018,fsfoods,enough of the kinds of food we want to eat,815572.8957,77.48726722486133
Montana,2018,fsfoods,often not enough to eat,8262.409,0.7850083021145441
Montana,2018,fsfoods,sometimes not enough to eat,22648.3276,2.1518088967769535
Nebraska,2018,fsfoods,enough but not always the kinds of food we want to eat,381217.8367,20.035156582804227
Nebraska,2018,fsfoods,enough of the kinds of food we want to eat,1482817.7953,77.93047400345851
Nebraska,2018,fsfoods,often not enough to eat,14128.9371,0.7425556726241499
Nebraska,2018,fsfoods,sometimes not enough to eat,24579.9147,1.291813741113104
Nevada,2018,fsfoods,enough but not always the kinds of food we want to eat,664240.4179,22.018969951030645
Nevada,2018,fsfoods,enough of the kinds of food we want to eat,2213857.4804000002,73.3873760511375
Nevada,2018,fsfoods,often not enough to eat,8496.3779,0.28164725396289503
Nevada,2018,fsfoods,sometimes not enough to eat,130079.1621,4.312006743868973
New Hampshire,2018,fsfoods,enough but not always the kinds of food we want to eat,125253.9383,9.366166766381115
New Hampshire,2018,fsfoods,enough of the kinds of food we want to eat,1194851.2966,89.34790120673038
New Hampshire,2018,fsfoods,often not enough to eat,4721.9916,0.35309836477254136
New Hampshire,2018,fsfoods,sometimes not enough to eat,12474.8035,0.9328336621159545
