area_type,area,fips,population,population_0_17,population_18p
State,California,06,38636535,8697514,29939021
County,Alameda County,06001,1634289,332562,1301727
County,Alpine County,06003,1104,196,908
County,Amador County,06005,38871,5877,32994
County,Butte County,06007,214328,43409,170919
County,Calaveras County,06009,44888,7655,37233
County,Colusa County,06011,21070,5712,15358
County,Contra Costa County,06013,1127961,252915,875046
County,Del Norte County,06015,27196,5693,21503
County,El Dorado County,06017,188570,37257,151313
County,Fresno County,06019,976958,275606,701352
County,Glenn County,06021,27763,7392,20371
County,Humboldt County,06023,132554,25066,107488
County,Imperial County,06025,177198,50456,126742
County,Inyo County,06027,17639,3644,13995
County,Kern County,06029,880251,253345,626906
County,Kings County,06031,149551,40427,109124
County,Lake County,06033,62959,13326,49633
County,Lassen County,06035,29895,5165,24730
County,Los Angeles County,06037,9816618,2097022,7719596
County,Madera County,06039,153841,42193,111648
County,Marin County,06041,253089,50193,202896
County,Mariposa County,06043,16821,2716,14105
County,Mendocino County,06045,84826,17913,66913
County,Merced County,06047,271526,79429,192097
County,Modoc County,06049,8645,1681,6964
County,Mono County,06051,14124,2512,11612
County,Monterey County,06053,424441,110217,314224
County,Napa County,06055,134691,27181,107510
County,Nevada County,06057,97544,16543,81001
County,Orange County,06059,3105311,674391,2430920
County,Placer County,06061,389501,85998,303503
County,Plumas County,06063,18391,3198,15193
County,Riverside County,06065,2415793,600543,1815250
County,Sacramento County,06067,1517660,355073,1162587
County,San Benito County,06069,61416,15632,45784
County,San Bernardino County,06071,2131769,557013,1574756
County,San Diego County,06073,3264344,698954,2565390
County,San Francisco County,06075,862012,115551,746461
County,San Joaquin County,06077,745257,200037,545220
County,San Luis Obispo County,06079,276837,48402,228435
County,San Mateo County,06081,749584,151724,597860
County,Santa Barbara County,06083,436604,96372,340232
County,Santa Clara County,06085,1885126,406697,1478429
County,Santa Cruz County,06087,267158,50749,216409
County,Shasta County,06089,176089,37957,138132
County,Sierra County,06091,2938,485,2453
County,Siskiyou County,06093,42574,8542,34032
County,Solano County,06095,437722,96274,341448
County,Sonoma County,06097,483380,93388,389992
County,Stanislaus County,06099,538456,145143,393313
County,Sutter County,06101,94821,24422,70399
County,Tehama County,06103,63641,15120,48521
County,Trinity County,06105,12013,2084,9929
County,Tulare County,06107,455863,138957,316906
County,Tuolumne County,06109,53270,8950,44320
County,Ventura County,06111,827256,186680,640576
County,Yolo County,06113,215614,44761,170853
County,Yuba County,06115,76924,21114,55810
