area_type,area,fips,date_start,date_end,variable,code,response,n,n_error,pct
State,California,06,2020-06-18,2020-06-23,curfoodsuf,1,Enough of the kinds of food (I/we) wanted to eat,16505779,NA,54.377021880575185
State,California,06,2020-06-18,2020-06-23,curfoodsuf,2,"Enough, but not always the kinds of food (I/we) wanted to eat",10123529,NA,33.35119074200856
State,California,06,2020-06-18,2020-06-23,curfoodsuf,3,Sometimes not enough to eat,2599042,NA,8.56234410604141
State,California,06,2020-06-18,2020-06-23,curfoodsuf,4,Often not enough to eat,330580,NA,1.0890703473570496
State,California,06,2020-06-18,2020-06-23,curfoodsuf,NA,Did not report,795398,NA,2.620376264140367
State,California,06,2020-06-18,2020-06-23,freefood,1,Yes,3885922,NA,12.801871510761824
State,California,06,2020-06-18,2020-06-23,freefood,2,No,25634857,NA,84.45206675261693
State,California,06,2020-06-18,2020-06-23,freefood,NA,Did not report,833549,NA,2.7460617366212476
State,California,06,2020-06-18,2020-06-23,mortconf,1,No confidence,1477842,NA,NA
State,California,06,2020-06-18,2020-06-23,mortconf,2,Slight confidence,4274645,NA,NA
State,California,06,2020-06-18,2020-06-23,mortconf,3,Moderate confidence,5227068,NA,NA
State,California,06,2020-06-18,2020-06-23,mortconf,4,High confidence,11101228,NA,NA
State,California,06,2020-06-18,2020-06-23,mortconf,5,Payment is/will be deferred,315237,NA,NA
State,California,06,2020-06-18,2020-06-23,mortconf,NA,Did not report,7958306,NA,26.21802830493355
State,California,06,2020-06-18,2020-06-23,mortlmth,1,Yes,18825104,NA,NA
State,California,06,2020-06-18,2020-06-23,mortlmth,2,No,2358677,NA,NA
State,California,06,2020-06-18,2020-06-23,mortlmth,3,Payment was deferred,1151692,NA,NA
State,California,06,2020-06-18,2020-06-23,mortlmth,NA,Did not report,3517927,NA,11.589540619915393
State,California,06,2020-06-18,2020-06-23,total,NA,Total,30354327,NA,100
State,California,06,2020-06-18,2020-06-23,wherefree1,1,Free meals through the school or other programs aimed at children,2307288,NA,59.375566661578944
State,California,06,2020-06-18,2020-06-23,wherefree2,1,Food pantry or food bank,1261558,NA,32.46481969236228
State,California,06,2020-06-18,2020-06-23,wherefree3,1,Home-delivered meal service like Meals on Wheels,61033,NA,1.5706195673869057
State,California,06,2020-06-18,2020-06-23,wherefree4,1,"Church, synagogue, temple, mosque or other religious organization",621389,NA,15.990769042112005
State,California,06,2020-06-18,2020-06-23,wherefree5,1,Shelter or soup kitchen,62100,NA,1.598067186658161
State,California,06,2020-06-18,2020-06-23,wherefree6,1,Other community program,526778,NA,13.556071285537426
State,California,06,2020-06-18,2020-06-23,wherefree7,1,"Family, friends, or neighbors",706994,NA,18.19372748845152
State,California,06,2020-06-18,2020-06-23,wrkloss,1,Yes,16826452,NA,55.43345589022433
State,California,06,2020-06-18,2020-06-23,wrkloss,2,No,13316753,NA,43.87102036502797
State,California,06,2020-06-18,2020-06-23,wrkloss,NA,Did not report,211122,NA,0.695523744747699
State,California,06,2020-06-11,2020-06-16,curfoodsuf,1,Enough of the kinds of food (I/we) wanted to eat,15886517,463997,52.336910241176035
State,California,06,2020-06-11,2020-06-16,curfoodsuf,2,"Enough, but not always the kinds of food (I/we) wanted to eat",10303483,502606,33.94403520931239
State,California,06,2020-06-11,2020-06-16,curfoodsuf,3,Sometimes not enough to eat,3020528,347835,9.950898160184927
State,California,06,2020-06-11,2020-06-16,curfoodsuf,4,Often not enough to eat,524960,141686,1.7294396022920042
State,California,06,2020-06-11,2020-06-16,curfoodsuf,NA,Did not report,618839,139681,2.0387167870346627
State,California,06,2020-06-11,2020-06-16,egender,1,Male,14853271,0,48.932959431090445
State,California,06,2020-06-11,2020-06-16,egender,2,Female,15501056,0,51.067040568909555
State,California,06,2020-06-11,2020-06-16,egender_curfoodsuf_34,1,Male,1646899,238570,46.45055123644802
State,California,06,2020-06-11,2020-06-16,egender_curfoodsuf_34,2,Female,1898589,241163,53.549448763551986
State,California,06,2020-06-11,2020-06-16,expctloss,1,Yes,11873615,490898,39.116712701883756
State,California,06,2020-06-11,2020-06-16,expctloss,2,No,18358483,496141,60.48061229056925
