area,fips,date,labor_force,employment,unemployment,unemployment_rate,food_insufficiency_n,food_insufficiency_pct
United States,00,2001-12-01,144006668,136226089,7780579,5.402929675450862,9262048.867,3.3493799508517332
Alabama,01,2001-12-01,2122949,1998822,124127,5.8469138919493595,245801.4861,5.4278685006386596
Alaska,02,2001-12-01,318934,297214,21720,6.810186433556786,13685.7522,2.218929212847196
Arizona,04,2001-12-01,2634321,2495064,139257,5.2862578250714325,207453.2327,4.162825492260534
Arkansas,05,2001-12-01,1246914,1181093,65821,5.278712084393952,122444.4576,4.641871399028001
California,06,2001-12-01,17200689,16143866,1056823,6.144073647282385,1490248.5749,4.293655722723571
Colorado,08,2001-12-01,2420434,2297695,122739,5.070950085811057,85761.4436,2.029560653001786
Connecticut,09,2001-12-01,1748766,1700454,48312,2.762633765752536,82486.8885,2.4656794801544173
Delaware,10,2001-12-01,421744,407745,13999,3.31931218938503,16403.638499999997,2.059728999011777
Florida,12,2001-12-01,8049559,7580404,469155,5.828331713575862,690169.6158,4.43983285931456
Georgia,13,2001-12-01,4295746,4095183,200563,4.668874742594185,506470.29449999996,6.54004097219846
Hawaii,15,2001-12-01,607399,577545,29854,4.91505583644359,38623.9047,3.2812053060881836
Idaho,16,2001-12-01,678959,641033,37926,5.585904303499917,42228.5661,3.253653356180584
Illinois,17,2001-12-01,6413543,6029302,384241,5.991087921294049,344166.73370000004,2.8313284517648376
Indiana,18,2001-12-01,3144870,2980275,164595,5.233761649925116,170657.53569999998,2.8919264086848884
Iowa,19,2001-12-01,1622007,1560365,61642,3.800353512654384,63574.85079999999,2.212803026840522
Kansas,20,2001-12-01,1390028,1331823,58205,4.1873257229350775,73435.8533,2.866154079583562
Kentucky,21,2001-12-01,1952798,1842930,109868,5.626183558156041,80803.1878,1.9938340548182207
Louisiana,22,2001-12-01,2002969,1885604,117365,5.859551495804478,225926.8884,5.187060725836844
Maine,23,2001-12-01,668546,641784,26762,4.003015499307453,35126.0677,2.8126330110022058
Maryland,24,2001-12-01,2851777,2728966,122811,4.30647277118793,108942.7925,2.089319076615745
Massachusetts,25,2001-12-01,3397734,3253815,143919,4.235734757341216,111867.08979999999,1.826538755574515
Michigan,26,2001-12-01,5061112,4756458,304654,6.019507175498191,307976.36329999997,3.02984833780999
Minnesota,27,2001-12-01,2844065,2723043,121022,4.255247330845111,92190.8882,1.9138441837946494
Mississippi,28,2001-12-01,1294894,1210355,84539,6.528642498922692,128932.6741,4.569341972057871
Missouri,29,2001-12-01,2979980,2833038,146942,4.9309726910918865,110640.9239,2.017648425902368
Montana,30,2001-12-01,460081,438853,21228,4.613970148734679,26210.9136,2.963109801672801
Nebraska,31,2001-12-01,947324,916565,30759,3.2469355785349046,40148.183699999994,2.3639364091963895
Nevada,32,2001-12-01,1121315,1052936,68379,6.098108024952846,29483.535,1.5003426713508339
New Hampshire,33,2001-12-01,695488,668287,27201,3.9110667617557744,15415.768199999999,1.2610013206721198
New Jersey,34,2001-12-01,4332584,4117239,215345,4.9703594898564,174974.36359999998,2.08747477437454
New Mexico,35,2001-12-01,865855,824601,41254,4.764539097192948,67265.5344,3.7712264390969352
